Cadena nº,Ángulo en x,Ángulo en y,Aceleración,Temperatura,Presion,Altura,RSSI,Latitud,Longitud
283.00,-3.24,82.77,9.71,28.60,101114.00,-5.76,104,36.6651,-6.1544
285.00,-4.77,81.90,9.60,28.70,101120.00,-6.51,100,36.6651,-6.1544
286.00,-5.42,80.41,9.71,28.80,101108.00,-6.43,100,36.6651,-6.1544
287.00,-5.96,82.77,9.60,28.80,101113.00,-7.26,97,36.6651,-6.1544
288.00,-4.94,81.87,9.59,28.80,101127.00,-6.84,97,36.6651,-6.1544
291.00,-0.97,86.60,9.77,28.60,101123.00,0.00,96,36.6651,-6.1544
292.00,-19.54,70.01,7.06,28.50,101106.00,0.00,97,36.6651,-6.1544
297.00,-0.45,88.04,9.55,28.30,101153.00,-9.76,100,36.6651,-6.1544
297.00,-0.45,88.04,9.55,28.30,101153.00,-9.76,100,36.6651,-6.1544
299.00,-2.49,86.75,9.58,28.90,101144.00,-8.76,104,36.6651,-6.1544
300.00,-0.95,87.11,9.65,29.30,101150.00,-9.51,105,36.6651,-6.1544
301.00,-1.82,86.21,9.68,29.50,101161.00,-10.10,104,36.6651,-6.1544
302.00,-1.69,85.83,9.60,29.80,101139.00,-9.68,102,36.6651,-6.1544
303.00,-0.76,0.00,9.59,30.10,101158.00,-8.85,103,36.6651,-6.1544
305.00,-0.83,86.78,9.62,30.60,101152.00,-9.10,102,36.6651,-6.1544
305.00,-0.83,86.78,9.62,30.60,101152.00,-9.10,101,36.6651,-6.1544
305.00,-0.83,86.78,9.62,30.60,101152.00,-9.10,102,36.6651,-6.1544
315.00,-1.00,85.08,9.62,31.50,101.00,-9.10,102,36.6651,-6.1544
316.00,-2.00,82.49,9.69,31.70,101150.00,-9.26,104,36.6651,-6.1544
317.00,-0.91,82.91,9.66,31.90,101155.00,-9.10,100,36.6651,-6.1544
318.00,-2.25,83.12,9.71,32.10,101146.00,-8.68,100,36.6651,-6.1544
322.00,-2.62,82.70,9.68,101151.00,-8.43,-8.68,100,36.6651,-6.1544
329.00,-1.01,87.78,9.64,32.80,101143.00,-8.68,98,36.6651,-6.1544
344.00,-5.41,83.15,9.71,34.40,101137.00,-8.43,102,36.6651,-6.1544
345.00,7.33,50.75,10.22,34.50,101141.00,-8.10,101,36.6651,-6.1544
348.00,2.18,65.22,10.34,33.70,101122.00,-7.26,102,36.6651,-6.1544
349.00,2.37,68.21,10.83,33.50,101132.00,-8.35,102,36.6651,-6.1544
356.00,-1.57,82.98,33.50,101151.00,0.00,-8.35,101,36.6651,-6.1544
358.00,-0.73,84.36,9.65,33.70,101153.00,-8.68,101,36.6651,-6.1544
359.00,-0.14,85.58,9.70,33.60,101143.00,-8.93,101,36.6651,-6.1544
363.00,11.89,62.96,9.74,33.50,101104.00,-7.00,96,36.6651,-6.1544
363.00,11.89,62.96,9.74,33.50,101104.00,-7.00,103,36.6651,-6.1544
365.00,5.67,51.52,10.20,33.00,101112.00,-7.09,105,36.6651,-6.1544
367.00,-4.45,59.95,0.00,101103.00,-4.93,-7.09,102,36.6651,-6.1544
369.00,-2.16,86.84,9.68,31.80,101121.00,-6.68,103,36.6651,-6.1544
370.00,-2.02,86.90,9.63,31.90,101112.00,-6.76,101,36.6651,-6.1544
370.00,-2.02,86.90,9.63,31.90,101112.00,-6.76,107,36.6651,-6.1544
372.00,-4.32,80.50,9.41,32.20,101111.00,-6.09,97,36.6651,-6.1544
373.00,-4.27,79.16,9.73,32.20,101115.00,-5.43,96,36.6651,-6.1544
374.00,-4.50,78.99,9.72,32.20,101113.00,-6.09,93,36.6651,-6.1544
375.00,-2.53,86.44,9.62,31.90,101110.00,-6.51,96,36.6651,-6.1544
376.00,-2.51,87.49,9.87,31.50,101106.00,-5.76,98,36.6651,-6.1544
377.00,-2.59,41.93,8.05,31.40,0.00,-5.76,100,36.6651,-6.1544
378.00,-2.90,65.99,10.03,30.40,101101.00,-5.09,99,36.6651,-6.1544
378.00,-2.90,65.99,10.03,30.40,101101.00,-5.09,98,36.6651,-6.1544
381.00,2.91,71.22,8.93,28.60,101055.00,-1.34,94,36.6651,-6.1544
382.00,-3.25,56.99,10.49,28.40,101043.00,-0.50,84,36.6651,-6.1544
383.00,-1.88,73.72,9.95,28.40,101033.00,-0.75,51,36.6651,-6.1544
384.00,1.93,80.02,9.91,28.30,101038.00,0.42,53,36.6651,-6.1544
385.00,-3.38,75.66,9.77,28.40,101038.00,-0.25,69,36.6651,-6.1544
386.00,-8.90,80.97,9.60,28.40,101049.00,-0.08,55,36.6651,-6.1544
388.00,-4.45,81.37,9.70,28.30,101034.00,0.08,51,36.6651,-6.1544
389.00,34.44,15.51,5.05,28.40,101047.00,-1.34,60,36.6651,-6.1544
390.00,-5.42,83.50,9.92,28.60,101059.00,0.08,71,36.6651,-6.1544
391.00,-4.08,42.11,10.28,28.80,101030.00,-0.08,75,36.6651,-6.1544
392.00,-6.01,41.03,10.50,28.90,101051.00,-0.25,69,36.6651,-6.1544
393.00,-2.13,77.90,9.88,29.10,101043.00,-0.08,72,36.6651,-6.1544
394.00,4.44,67.73,9.82,29.20,101032.00,0.17,67,36.6651,-6.1544
395.00,4.25,73.27,9.91,29.50,101045.00,0.67,60,36.6651,-6.1544
396.00,1.55,65.91,9.33,29.80,101047.00,0.33,62,36.6651,-6.1544
397.00,12.72,72.09,10.21,30.10,101025.00,0.58,66,36.6651,-6.1544
398.00,4.47,72.45,9.72,30.30,101048.00,-0.42,58,36.6651,-6.1544
399.00,4.76,73.26,9.88,30.60,101041.00,-0.58,60,36.6651,-6.1544
400.00,3.98,73.10,9.84,30.90,101044.00,0.08,59,36.6651,-6.1544
401.00,4.11,73.32,9.92,31.10,101042.00,-0.75,60,36.6651,-6.1544
402.00,4.57,72.30,9.87,31.30,101036.00,0.42,61,36.6651,-6.1544
403.00,2.32,77.59,9.75,31.60,101033.00,1.00,63,36.6651,-6.1544
404.00,5.78,70.04,9.95,31.70,101052.00,-0.58,59,36.6651,-6.1544
405.00,-1.25,69.09,10.19,31.90,101047.00,-0.25,63,36.6651,-6.1544
406.00,17.85,70.88,10.40,32.00,101039.00,0.58,45,36.6651,-6.1544
407.00,-12.54,76.30,9.76,31.10,101040.00,-0.50,49,36.6651,-6.1544
408.00,1.88,84.56,9.64,30.30,101045.00,0.42,58,36.6651,-6.1544
409.00,2.97,81.75,9.67,29.60,101036.00,0.25,53,36.6651,-6.1544
410.00,2.96,84.13,9.68,28.40,101026.00,0.42,53,36.6651,-6.1544
411.00,1.13,84.03,9.68,27.70,101036.00,0.33,58,36.6651,-6.1544
412.00,2.65,84.45,9.63,27.20,101041.00,0.00,52,36.6651,-6.1544
413.00,3.49,78.91,9.87,26.70,101042.00,0.17,50,36.6651,-6.1544
414.00,2.89,84.13,9.74,26.30,101047.00,-0.08,51,36.6651,-6.1544
415.00,2.42,84.43,9.65,26.00,101034.00,0.25,54,36.6651,-6.1544
416.00,0.85,84.79,9.68,25.80,101029.00,0.17,50,36.6651,-6.1544
417.00,1.44,85.09,9.62,25.60,101033.00,-0.25,52,36.6651,-6.1544
418.00,1.68,85.38,9.64,25.40,101052.00,-0.83,49,36.6651,-6.1544
419.00,1.49,83.78,9.68,25.40,101039.00,0.33,49,36.6651,-6.1544
